Timestamp,What is your age range?,What’s your general mood?,What are your hobbies?,Are you open to new things?,What are you going to do while you listen to music?,How loud of music can you handle ,What kind of music do you usually listen to?
2/9/2024 16:03:11,11-18,Calm,Drawing,Maybe,Cleaning,Loud,Rap
2/9/2024 16:05:38,11-18,Stressed,Drawing,Yes,Just listening because why not,Very loud,Metal
2/9/2024 16:10:45,33-49+,Angry,Skateboarding,No,Just listening because why not,Very loud,K-Pop
2/9/2024 16:54:01,11-18,Happy,Other/None of these,Yes,Working out,Very loud,Pop
2/9/2024 17:03:18,11-18,Happy,Other/None of these,I Dont care,Falling asleep/Sleeping,Loud,Country
2/9/2024 17:44:30,11-18,Happy,Other/None of these,Yes,Just listening because why not,Background noise,Pop
2/9/2024 19:44:11,11-18,Happy,Drawing,Yes,Just listening because why not,Loud,Pop
2/9/2024 20:07:00,11-18,Happy,Other/None of these,Yes,Working out,Loud,Country
2/9/2024 20:17:59,11-18,Stressed,Drawing,Maybe,Cleaning,Background noise,Rap
2/9/2024 20:43:11,11-18,Stressed,Other/None of these,Yes,Homework,Loud,Pop
2/9/2024 23:17:19,11-18,Happy,Other/None of these,Maybe,Homework,Background noise,Country
2/10/2024 8:30:51,11-18,Happy,Other/None of these,Yes,Homework,Very Quiet,Pop
2/10/2024 8:52:11,11-18,Stressed,Drawing,Maybe,Other,Background noise,Pop
2/10/2024 9:22:45,11-18,Stressed,Drawing,Yes,Cleaning,Loud,Pop
2/10/2024 10:06:49,11-18,Happy,Other/None of these,Yes,Just listening because why not,Loud,Pop
2/10/2024 16:55:50,33-49+,Sad,Other/None of these,Maybe,Other,Very loud,Classical
2/10/2024 18:45:25,11-18,Happy,Other/None of these,Maybe,Just listening because why not,Very loud,Country
2/10/2024 19:30:25,11-18,Sad,Gaming,Maybe,Reading,Loud,Pop
2/10/2024 20:08:00,11-18,Happy,Dancing,Yes,Cleaning,Loud,Pop
2/10/2024 21:03:42,11-18,Calm,Drawing,Yes,Just listening because why not,Background noise,Pop
2/10/2024 23:02:51,11-18,Happy,Dancing,Yes,Other,Very loud,Pop
2/10/2024 23:53:55,11-18,Stressed,Other/None of these,Maybe,Just listening because why not,Loud,Pop
2/11/2024 10:03:22,11-18,Calm,Dancing,Yes,Cleaning,Loud,Pop
2/11/2024 10:14:43,11-18,Calm,Other/None of these,Maybe,Homework,Loud,Pop
2/11/2024 11:38:56,11-18,Happy,Dancing,Yes,Homework,Background noise,Pop
2/11/2024 13:00:22,11-18,Calm,Weight Lifting,Maybe,Working out,Very loud,Hip-Hop
2/11/2024 13:02:22,11-18,Sad,Weight Lifting,Yes,Just listening because why not,Very loud,Hip-Hop
2/11/2024 13:17:46,11-18,Angry,Other/None of these,Yes,Homework,Loud,Pop
2/11/2024 17:56:14,11-18,Happy,Dancing,Yes,Homework,Loud,Pop
2/11/2024 20:46:09,11-18,Happy,Weight Lifting,Yes,Working out,Very loud,Rap
2/11/2024 21:44:50,11-18,Stressed,Dancing,Yes,Homework,Background noise,Pop
2/12/2024 7:58:26,33-49+,Happy,Drawing,Yes,Cleaning,Background noise,Rock
2/12/2024 8:38:20,33-49+,Stressed,Skateboarding,No,Reading,Background noise,Classical
2/12/2024 8:43:50,11-18,Stressed,Gaming,Yes,Working out,Very loud,Rock
2/12/2024 9:07:49,11-18,Calm,Dancing,I Dont care,Cleaning,Background noise,Country
2/12/2024 9:25:53,11-18,Stressed,Drawing,I Dont care,Playing video games,Loud,Jazz
2/12/2024 9:26:55,11-18,Calm,Other/None of these,I Dont care,Cleaning,Loud,Rap
2/12/2024 9:43:05,11-18,Happy,Other/None of these,Maybe,Cleaning,Background noise,Pop
2/12/2024 10:02:29,11-18,Happy,Gaming,Yes,Playing video games,Very loud,R&B
2/12/2024 10:21:36,11-18,Sad,Drawng,Yes,Homework,Loud,Pop
2/12/2024 10:38:32,11-18,Happy,Gaming,Yes,Playing video games,Very loud,Rap
2/12/2024 10:41:41,11-18,Sad,Drawing,Yes,Just listening because why not,Very loud,Rock
2/12/2024 10:42:14,11-18,Happy,Drawing,Yes,Cleaning,Loud,Pop
2/12/2024 10:42:31,11-18,Sad,Other/None of these,No,Just listening because why not,Loud,Pop
2/12/2024 10:59:06,11-18,Calm,Gaming,Yes,Playing video games,Loud,Pop
